"","MMSANAME","BMI_(kg/m2)","%Underweight","%Normal_weight","%Overwieght","%Obese","%Extreme_Obesity","State"
"66","Lincoln",27.6830672628431,2.23463687150838,37.9888268156425,32.9608938547486,20.9497206703911,5.8659217877095,"NE"
"67","Little Rock-North Little Rock-Conway",29.5400641691679,0,28.1437125748503,36.5269461077844,25.748502994012,9.58083832335329,"AR"
"68","Los Angeles-Long Beach-Anaheim",26.4617420188615,3.13111545988258,41.6829745596869,35.0293542074364,17.8082191780822,2.34833659491194,"CA"
"69","Louisville/Jefferson County",29.031262061971,1.53256704980843,27.9693486590038,36.7816091954023,26.0536398467433,7.66283524904215,"KY-IN"
"70","Manhattan",27.1936503660278,3.31491712707182,38.121546961326,32.0441988950276,23.7569060773481,2.76243093922652,"KS"
"71","Memphis",29.1150513123099,2.04081632653061,26.0204081632653,36.2244897959184,27.5510204081633,8.16326530612245,"TN-MS-AR"
"72","Miami-Fort Lauderdale-West Palm Beach",26.6087869449258,2.03389830508475,43.728813559322,36.6101694915254,14.2372881355932,3.38983050847458,"FL"
"73","Milwaukee-Waukesha-West Allis",27.3105132501813,0.460829493087558,42.3963133640553,34.1013824884793,16.5898617511521,6.45161290322581,"WI"
"74","Minneapolis-St. Paul-Bloomington",26.9087269049892,2.13299874529486,40.9033877038896,35.3826850690088,17.6913425345044,3.88958594730238,"MN-WI"
"75","Minot",27.9926205822694,2.77777777777778,30.5555555555556,36.1111111111111,26.3888888888889,4.16666666666667,"ND"
"76","Montgomery County-Bucks County-Chester County",26.5595726064317,1.52671755725191,46.5648854961832,32.0610687022901,15.2671755725191,4.58015267175572,"PA"
"77","Myrtle Beach-Conway-North Myrtle Beach",28.7231618473242,3.03030303030303,28.030303030303,34.0909090909091,29.5454545454545,5.3030303030303,"SC-NC"
"78","Nashville-Davidson--Murfreesboro--Franklin",27.5366308368027,1.62162162162162,38.3783783783784,35.1351351351351,18.9189189189189,5.94594594594595,"TN"
"79","Nassau County-Suffolk County",27.1516744825874,2.69058295964126,40.3587443946188,34.0807174887892,20.627802690583,2.24215246636771,"NY"
"80","New Orleans-Metairie",28.2136361803564,3.78378378378378,32.4324324324324,31.8918918918919,24.8648648648649,7.02702702702703,"LA"
"81","New York-Jersey City-White Plains",26.517597316922,2.57992148065059,42.1761076836792,36.1749859786876,16.0964666292765,2.97251822770611,"NY-NJ"
"82","Newark",26.9954149805479,1.54373927958834,40.3087478559177,37.3927958833619,17.4957118353345,3.2590051457976,"NJ-PA"
"83","North Platte",28.573527936702,0,32.2916666666667,36.4583333333333,25,6.25,"NE"
"84","North Port-Sarasota-Bradenton",26.9147270885942,1.63934426229508,40.9836065573771,34.4262295081967,19.672131147541,3.27868852459016,"FL"
"85","Oakland-Hayward-Berkeley",25.3656355079886,3.14465408805031,52.2012578616352,30.8176100628931,12.5786163522013,1.25786163522013,"CA"
"86","Ogden-Clearfield",27.0569995230653,2.81030444964871,40.5152224824356,32.0843091334895,21.0772833723653,3.51288056206089,"UT"
"87","Oklahoma City",28.8966152827532,2.32558139534884,34.1085271317829,30.2325581395349,24.5478036175711,8.78552971576227,"OK"
"88","Omaha-Council Bluffs",28.7439379976998,1.4018691588785,33.3333333333333,34.2679127725857,24.4548286604361,6.54205607476635,"NE-IA"
"89","Orlando-Kissimmee-Sanford",27.2548586994158,3.26797385620915,36.2745098039216,35.2941176470588,20.2614379084967,4.90196078431373,"FL"
"90","Panama City",28.2598365783986,3.38983050847458,27.1186440677966,44.9152542372881,15.2542372881356,9.32203389830508,"FL"
"91","Pensacola-Ferry Pass-Brent",27.3782446987233,2,40,31.3333333333333,22,4.66666666666667,"FL"
"92","Philadelphia",27.0051164242601,3.06513409961686,40.6130268199234,30.6513409961686,19.1570881226054,6.51340996168582,"PA"
"93","Phoenix-Mesa-Scottsdale",27.6560003656739,1.79760319573901,38.8814913448735,33.288948069241,20.306258322237,5.72569906790945,"AZ"
"94","Pittsburgh",27.4592975598968,2.69360269360269,43.0976430976431,26.5993265993266,20.8754208754209,6.73400673400673,"PA"
"95","Port St. Lucie",26.8776005721274,3,36,38,21,2,"FL"
"96","Portland-South Portland",26.6385826061958,1.64835164835165,43.956043956044,37.0879120879121,12.6373626373626,4.67032967032967,"ME"
"97","Portland-Vancouver-Hillsboro",26.9015616744366,2.7823240589198,42.8805237315876,30.9328968903437,18.0032733224223,5.40098199672668,"OR-WA"
"98","Providence-Warwick",27.6891367702438,1.46596858638743,37.5916230366492,34.6596858638743,21.151832460733,5.13089005235602,"RI-MA"
